School_Roll_No,Name,Address1,Address2,Address3,Phone,School_Level,Mixed_Status,Fee_paying,LA_ID
19605P,Scoil Mhuire Jns- Scoil Nais Mhuire Sois,Blakestown Road,Blakestown,Dublin 15,(01) 8216916,Primary,Mixed,No,1
18623M,Scoil Naisunta Chnuacha - Castleknock Ns,Main Street,Castleknock,Dublin 15,(01) 8202611,Primary,Mixed,No,1
20231H,St Benedicts Ns,Ongar,,,(01) 8026579,Primary,Mixed,,1
20241K,Scoil Choilm Community Ns,Porterstown Rd,Porterstown,Dublin 15,(01) 8213352,Primary,Mixed,,1
20247W,Scoil Ghrainne Community Ns,Phibblestown,,Dublin 15,(01) 6402418,Primary,Mixed,,1
20252P,Gaelscoil Bhaile Brigin,Castlelands,Balbriggan,,(01) 8416036,Primary,Mixed,,1
20282B,Bracken Educate Together,Castlelands,Balbriggan,,(01) 6911476,Primary,Mixed,,1
20334R,Gealscoil Ros Eo,Rush Demesne,Rush,,(01) 8949767,Primary,Mixed,,1
20302E,Thornleigh Avenue Et Ns,Thornleigh Green,Applewood Village,,(01) 8074969,Primary,Mixed,,1
20309S,Mary Mother Of Hope Jun Ns,Littlepace,Castaheny,,(01) 6405655,Primary,Mixed,,1
20307O,Skerries Etns,Barnageeragh Cove,Kellys Bay,,(01) 8494050,Primary,Mixed,,1
20186F,Castaheaney Educate Together ,Ongar Village,Clonsilla,Dublin 15,(01) 6467484,Primary,Mixed,No,1
15315J,St Georges National School,Clonard Road,Balbriggan,,(01) 8410107,Primary,Mixed,No,1
76129H,Ardgillan Community College,Ardgillan,Balbriggan,,(01) 9680734,Secondary,Mixed,,1
76098W,Colaiste Pobail Setanta,Phibblestown,Dublin 15,,(01) 6402403,Secondary,Mixed,,1
76104O,Donabate Community College,Portrane Rd,Donabate,,(01) 8436726,Secondary,Mixed,,1
76130P,Luttrellstown Community College,Mill Road,Blanchardstown,Dublin 15,(01) 8235262,Secondary,Mixed,No,1
20348F,Holywell Educate Together National School,Holywell Road,Swords,,(01) 4444386,Primary,Mixed,No,1
